stat	ploidy	miss_pct	estimator	mean	n_windows	q025	q975	sd_value	n_reps	theoretical	se_mean	ci_lo	ci_hi
fst_hudson	4	0.75	new	0.23694498932370933	2000	0.221359305775149	0.25279177878654524	0.008239994358991032	2000	0.23695960499175686	1.842518752091875e-4	0.2365838556482993	0.23730612299911935
fst_hudson	4	0.75	new_multi	0.2356310597181096	2000	0.21980597331212579	0.25080284768251576	0.008038731196088873	2000	0.23695960499175686	1.797514940730291e-4	0.23527874678972646	0.23598337264649275
fst_hudson	6	0	new	0.23683282421383914	10000	0.2219008400707766	0.2522548752486137	0.007766424352001529	10000	0.23695960499175686	7.766424352001529e-5	0.23668060229653992	0.23698504613113835
fst_hudson	6	0	new_multi	0.23566207284918442	10000	0.22104323542580923	0.25064761183134654	0.007614602888144688	10000	0.23695960499175686	7.614602888144688e-5	0.23551282663257678	0.23581131906579206
fst_hudson	6	0.1	new	0.23694264307755217	2000	0.22298948501094804	0.25250820533107426	0.007629863962867355	2000	0.23695960499175686	1.7060894480047336e-4	0.23660824954574325	0.23727703660936109
fst_hudson	6	0.1	new_multi	0.23574279590294736	2000	0.22192704113499345	0.25066888173045454	0.0074519819356230485	2000	0.23695960499175686	1.6663138175153597e-4	0.23541619839471434	0.23606939341118038
fst_hudson	6	0.25	new	0.2369446372001868	2000	0.2227593834616879	0.25236200379830637	0.007643540692485055	2000	0.23695960499175686	1.70914765771824e-4	0.23660964425927403	0.23727963014109957
fst_hudson	6	0.25	new_multi	0.2357316992934903	2000	0.2221445386595174	0.2506971379280469	0.007466187793741179	2000	0.23695960499175686	1.6694903439584455e-4	0.23540447918607446	0.23605891940090615
fst_hudson	6	0.5	new	0.2368845564519832	2000	0.22250768814785182	0.25269712402513766	0.007702580925860692	2000	0.23695960499175686	1.7223494552417773e-4	0.23654697595875582	0.23722213694521058
fst_hudson	6	0.5	new_multi	0.23567430770099007	2000	0.2218051082060801	0.2509704815879921	0.007519122457952897	2000	0.23695960499175686	1.681326894712798e-4	0.23534476762962636	0.23600384777235378
fst_hudson	6	0.75	new	0.23686937658014595	2000	0.22270201979735788	0.25266170906147023	0.00777874435780557	2000	0.23695960499175686	1.73938011636462e-4	0.2365284580773385	0.2372102950829534
fst_hudson	6	0.75	new_multi	0.2356587314531948	2000	0.22217258113401925	0.25079540096204994	0.00759255016492105	2000	0.23695960499175686	1.6977458291340706e-4	0.23532597327068452	0.23599148963570507
fst_hudson	8	0	new	0.2368065959468593	10000	0.22184216820088212	0.25223377904971644	0.0077339315123947806	10000	0.23695960499175686	7.733931512394781e-5	0.23665501088921637	0.23695818100450222
fst_hudson	8	0	new_multi	0.23562034392612694	10000	0.22094884378047844	0.250753374951039	0.00756185218140504	10000	0.23695960499175686	7.56185218140504e-5	0.23547213162337138	0.2357685562288825
fst_hudson	8	0.1	new	0.2366393664019605	2000	0.2214915620941637	0.251793923134093	0.007702668156053302	2000	0.23695960499175686	1.7223689605058143e-4	0.23630178208570138	0.23697695071821964
fst_hudson	8	0.1	new_multi	0.2354441334550503	2000	0.2204935062770506	0.25032679400332536	0.007544102878455717	2000	0.23695960499175686	1.6869126865478814e-4	0.23511349856848693	0.23577476834161368
fst_hudson	8	0.25	new	0.23665486159425256	2000	0.22150182932205964	0.2525103973316517	0.0077514942202601455	2000	0.23695960499175686	1.7332868003698413e-4	0.23631513738138007	0.23699458580712504
fst_hudson	8	0.25	new_multi	0.23545231673039238	2000	0.22073873229703617	0.2504344290192102	0.007591632736987083	2000	0.23695960499175686	1.69754068601159e-4	0.2351195987559341	0.23578503470485065
fst_hudson	8	0.5	new	0.2366658771667356	2000	0.22156021932007072	0.2519947259922784	0.007763464958458493	2000	0.23695960499175686	0.00017359635388050773	0.2363256283131298	0.23700612602034138
fst_hudson	8	0.5	new_multi	0.235469610634988	2000	0.2207641288244738	0.25046511203645105	0.007592937331946532	2000	0.23695960499175686	1.697832402312833e-4	0.2351368354841347	0.2358023857858413
fst_hudson	8	0.75	new	0.2367447014693058	2000	0.22121547977004286	0.2526722340607291	0.007863920671945976	2000	0.23695960499175686	1.7584261192137027e-4	0.2364000499499399	0.23708935298867168
fst_hudson	8	0.75	new_multi	0.2354971819726551	2000	0.22026354406155255	0.25051362409886346	0.007679443641827316	2000	0.23695960499175686	1.7171758012504424e-4	0.23516061551561002	0.23583374842970017
fst_wc	2	0	new	0.23654512627338825	102440	0.188039639687447	0.29150137679181265	0.026428520473573473	100000	0.23695960499175686	8.357431988488403e-5	0.23638132060641387	0.23670893194036263
fst_wc	2	0	new_multi	0.23655546738393232	102440	0.1880495408115905	0.2914832704834175	0.026427388187170824	100000	0.23695960499175686	8.357073928088801e-5	0.23639166873494177	0.23671926603292287
fst_wc	2	0	old	0.2365451349517657	102440	0.18803963968744764	0.29150137679181737	0.02642844482127662	100000	0.23695960499175686	8.357408065131574e-5	0.23638132975368914	0.23670894014984228
fst_wc	2	0	vcftools	0.23529190066	102440	0.187721875	0.28904202500000004	0.02591005855298544	100000	0.23695960499175686	8.193479933576048e-5	0.2351313084533019	0.2354524928666981
fst_wc	2	0.1	new	0.23661566934621053	42400	0.18798130770801277	0.2919304732192951	0.026594833242761233	40000	0.23695960499175686	1.3297416621380618e-4	0.23635503998043147	0.2368762987119896
fst_wc	2	0.1	new_multi	0.23662750549342945	42400	0.18801094895562975	0.29213970551191676	0.026593920358488957	40000	0.23695960499175686	1.329696017924448e-4	0.23636688507391626	0.23688812591294264
fst_wc	2	0.1	old	0.23661567622864527	42400	0.18798130770801755	0.2919304732192915	0.02659490887759432	40000	0.23695960499175686	1.329745443879716e-4	0.23635504612164485	0.2368763063356457
fst_wc	2	0.1	vcftools	0.2353523554	21200	0.18797629999999999	0.28985487499999996	0.02607115087263472	20000	0.23695960499175686	1.8435087575377585e-4	0.2349910276835226	0.2357136831164774
fst_wc	2	0.25	new	0.23663407754051025	45220	0.18770946494286903	0.292974113694692	0.026729760894326132	40000	0.23695960499175686	1.3364880447163066e-4	0.23637212588374584	0.23689602919727465
fst_wc	2	0.25	new_multi	0.23665039094786203	45220	0.18775264852784376	0.29301712345145875	0.026730839335807957	40000	0.23695960499175686	1.3365419667903979e-4	0.23638842872237112	0.23691235317335294
fst_wc	2	0.25	old	0.23663407135155431	45220	0.18770946494286425	0.2929741136946959	0.026729995633871684	40000	0.23695960499175686	1.3364997816935843e-4	0.23637211739434238	0.23689602530876624
fst_wc	2	0.25	vcftools	0.2353506679	22610	0.18767370000000003	0.29024247499999994	0.02620046380739272	20000	0.23695960499175686	1.85265256284401e-4	0.23498754799768257	0.23571378780231744
fst_wc	2	0.5	new	0.23666048833896966	50180	0.18722614615761102	0.2934720450560825	0.026951597505170215	40000	0.23695960499175686	0.00013475798752585108	0.236396362683419	0.23692461399452033
fst_wc	2	0.5	new_multi	0.23668342986607036	50180	0.18730782291271747	0.29331082624729854	0.026955240384930232	40000	0.23695960499175686	1.3477620192465115e-4	0.23641926851029804	0.23694759122184267
fst_wc	2	0.5	old	0.23666043419098118	50180	0.1872261461576158	0.29347204505607993	0.026952542153439975	40000	0.23695960499175686	1.3476271076719987e-4	0.23639629927787748	0.23692456910408488
fst_wc	2	0.5	vcftools	0.2353330442	25090	0.18701737499999999	0.29050422499999995	0.02640521162399559	20000	0.23695960499175686	1.867130419799313e-4	0.23496708663771934	0.23569900176228067
fst_wc	2	0.75	new	0.2367308864436321	55300	0.18622511941263675	0.29410314216208355	0.02739204959786127	40000	0.23695960499175686	1.3696024798930635e-4	0.23646244435757308	0.23699932852969113
fst_wc	2	0.75	new_multi	0.23676254302479496	55300	0.1862361510894495	0.29402763372991175	0.02739528040991885	40000	0.23695960499175686	1.3697640204959424e-4	0.23649406927677777	0.23703101677281216
fst_wc	2	0.75	old	0.23673075552218414	55300	0.18624074116006334	0.2941565045616536	0.02739247749062842	40000	0.23695960499175686	1.369623874531421e-4	0.23646230924277598	0.2369992018015923
fst_wc	2	0.75	vcftools	0.23529224225	27650	0.18621765	0.291697175	0.026779664656513543	20000	0.23695960499175686	1.8936082476522442e-4	0.23492109503346018	0.23566338946653984
pi	2	0	new	0.03385137596471723	120650	0.029256032867098228	0.038527778366577	0.002366425643615907	120000	0.0359721300184811	6.8312824117943864e-6	0.033837986651190116	0.03386476527824435
pi	2	0	new_multi	0.03597996582894737	120650	0.030989473684211	0.041071578947368	0.0025699237044781373	120000	0.0359721300184811	7.418730712886264e-6	0.03596542511675011	0.03599450654114463
pi	2	0	old	0.03384862244625704	100650	0.029243341104312266	0.038546044131413375	0.0023701983306843033	100000	0.0359721300184811	7.495225231291357e-6	0.03383393180480371	0.03386331308771037
pi	2	0	vcftools	0.035977173082	100650	0.0309773725	0.0410884125	0.0025736516006976233	100000	0.0359721300184811	8.138600961942684e-6	0.03596122142411459	0.035993124739885404
pi	2	0.1	new	0.03386715202120908	20940	0.0292881197746133	0.038501726544789276	0.002359266552322433	20000	0.0359721300184811	1.668253377773799e-5	0.03383445425500471	0.03389984978741345
pi	2	0.1	new_multi	0.03599546862585749	20940	0.03103975113424935	0.040998519436721545	0.0025627372220032906	20000	0.0359721300184811	1.8121288680777015e-5	0.03595995090004316	0.03603098635167181
pi	2	0.1	old	0.03386715192969627	20940	0.029288119774612945	0.038501726544789276	0.0023592712538638783	20000	0.0359721300184811	1.668256702265637e-5	0.03383445409833186	0.033899849761060676
pi	2	0.1	vcftools	0.034195691745	20940	0.0295025625	0.038963225000000004	0.002435694933020285	20000	0.0359721300184811	1.7222964040403572e-5	0.034161934735480806	0.03422944875451919
pi	2	0.25	new	0.03394645385435147	22380	0.029320565898844072	0.03862207894436112	0.0023892220355163666	20000	0.0359721300184811	1.689435103073949e-5	0.03391334092633122	0.033979566782371726
pi	2	0.25	new_multi	0.03600175220434443	22380	0.031013220894359872	0.041064439380311936	0.002586406827455888	20000	0.0359721300184811	1.828865806601243e-5	0.035965906434535046	0.03603759797415381
pi	2	0.25	old	0.03394645358381739	22380	0.02932056589884362	0.03862207894436092	0.0023892083892917315	20000	0.0359721300184811	1.689425453735972e-5	0.033913340844924166	0.03397956632271062
pi	2	0.25	vcftools	0.026051309235	22380	0.022400385000000002	0.029791437499999997	0.0019027670392845007	20000	0.0359721300184811	1.3454594764963202e-5	0.026024938229260674	0.026077680240739327
pi	2	0.5	new	0.03402378677721409	24940	0.029250610950917	0.03886585693779647	0.002450523499949191	20000	0.0359721300184811	1.732781784271065e-5	0.03398982425424238	0.034057749300185805
pi	2	0.5	new_multi	0.03599773918295385	24940	0.03085613545574202	0.04121123484567918	0.002641217251190965	20000	0.0359721300184811	1.8676226289040243e-5	0.03596113377942733	0.03603434458648037
pi	2	0.5	old	0.03402378616877648	24940	0.029250610950916696	0.038866850665644444	0.002450480673211756	20000	0.0359721300184811	1.7327515011946086e-5	0.03398982423935307	0.03405774809819989
pi	2	0.5	vcftools	0.017620117675	24940	0.015055935000000001	0.020260327499999998	0.0013287437257088084	20000	0.0359721300184811	9.395636989077762e-6	0.017601702226501408	0.017638533123498595
pi	2	0.75	new	0.03421522925463033	27540	0.029235149824389926	0.039245714626204	0.002542442622831845	20000	0.0359721300184811	1.7977784193821093e-5	0.03417999279761044	0.03425046571165022
pi	2	0.75	new_multi	0.0359933849522504	27540	0.030678735401668725	0.04136942649472235	0.0027206005673030276	20000	0.0359721300184811	1.923755110039939e-5	0.035955679352093615	0.036031090552407184
pi	2	0.75	old	0.03421522973889221	27540	0.02923851721752089	0.039237804835746196	0.0025424518224415518	20000	0.0359721300184811	1.7977849244885174e-5	0.034179993154372236	0.034250466323412186
pi	2	0.75	vcftools	0.00823857195	27540	0.0069796275	0.00952670875	6.485958707155504e-4	20000	0.0359721300184811	4.5862653843255895e-6	0.008229582869846723	0.008247561030153278
pi	4	0	new	0.033330951969637174	120000	0.0289691922044842	0.03780138523599487	0.002253794849147127	120000	0.0359721300184811	6.506145314266429e-6	0.03331819992482121	0.033343704014453135
pi	4	0	new_multi	0.0359756113525641	120000	0.03116971794871835	0.040909871794872	0.002481098835713194	120000	0.0359721300184811	7.162315403425399e-6	0.035961573214373384	0.03598964949075482
pi	4	0.1	new	0.033323137391787126	20000	0.02894154038887315	0.037829591909069614	0.002262518625031811	20000	0.0359721300184811	1.599842262320857e-5	0.03329178048344564	0.033354494300128615
pi	4	0.1	new_multi	0.03596646612749621	20000	0.031156978270981975	0.04093143038653039	0.002491907798717045	20000	0.0359721300184811	1.7620449025644646e-5	0.03593193004740595	0.03600100220758647
pi	4	0.25	new	0.03339239893572419	20000	0.028951356701585874	0.03797272635007154	0.002289478572160644	20000	0.0359721300184811	1.618905823756086e-5	0.03336066838157857	0.03342412948986981
